Location_Name,Located_City,Location,Location_Type,Avg_Rating,AI_Context
Horton Plains National Park,Nuwara Eliya,"Nuwara Eliya, Central Province",National Parks,4.3264248704663215,"Horton Plains National Park is a National Parks located in Nuwara Eliya. Address: Nuwara Eliya, Central Province. It has an average rating of 4.3/5. Recent travelers said: We arrived early (circa 6am) for a walk. 4 1/2 hours later our group had completed to walk via WorldÂs End and including both waterfalls. Toilets on route were a bonus. However conditions were extremely challenging in parts and 22000 steps later many of us were exhausted. We were advised not to take plastics into the National Park so were without water which was a mistake. DO take water with you. Lovely scenery although most of the walk/climb you look down to check your feet placing. | A great mornings hike in the park , the terrain can get slippy and challenging with high steps but shouldnÂt worry any person is in reasonable shape and take your time . A couple of toilets along the route but not a western standard so be prepared . Bring plenty of water and start early , Worlds end is a great stopping point with awesome views , lots of wildlife to be on the look out for. | We started our hike through Horton Plains early in the morning to catch a sunrise over the misty hills and terrains. What can I say, it was definitely worth waking up so early. We saw plenty of deers eating fresh grass even before we entered the main gate of the park, and then had an enjoyable walk along the route towards Baker's Falls. 

There are two options: you can start with the Falls and finish by the Little World's End or vice versa. We chose the first option and did not regret it. After we saw the sunrise, the sun quickly disappeared behind the clouds and we did not see it much until we reached the falls and the skies became blue. We took wonderful photos and had our packed breakfast right there on a bench, which was so romantic and enjoyable.

When we continued our route towards the World's End, we realized how right we were in taking that path - we almost always hiked down rather than climbing up and it made our trekking way more comfortable and less tiring. The day before we hiked the Adam's Peak, so we could not feel our legs and feet after that and this path we chose turned out to be helpful :) 

Unfortunately, when we reached the World's End, a big cloud hung on top and covered all the view. We waited for 30 minutes and the situation remained the same. We still were pleased with the hike and the World's End because there was a certain mystery in this endless mist over the edge. You can literally feel you are on the edge of nowhere.

P.S. In my opinion, you won't need a guide to hike Horton Plains. It is super easy and it is impossible to get lost on the way. There is literally only one path and it is a round journey, so whatever way you choose - you will end up in the same place. Only if a lady is solo and scared of being attacked or something??? But generally, for me it seemed peaceful and safe. And if a leopard comes out from a bush, I don't think that having a guide will be helpful right??)))

Also the time you will spend there will be at least 4-5 hrs if you do not want to run along the whole route and wish to take nice pictures and just enjoy the nature around you. So don't listen to people who tell it is like a 3-hour hike. Maybe, if you don't complete the whole circle..)."
Kaudulla National Park,Habarana,"Habarana, North Central Province",National Parks,4.47029702970297,"Kaudulla National Park is a National Parks located in Habarana. Address: Habarana, North Central Province. It has an average rating of 4.5/5. Recent travelers said: This was an amazing tour for the money charged the tour lasted 3.5 hours. We saw so much wild life in this park including wild boar, peacocks and rare birds. We got up close to elephants and a herd family.

We had an excellent guide who pointed out animals and rare species. | Good variety of animals for a small park. Plenty of elephants and excellent bird life near lake. Guide was reasonable and did not chase the animals. Roads were bad but it was after the rains, | With Sri Lanka in a such financial crisis how is the Kaudula national park allowed to handle cash only
I was supriced when they said cash only.
National Park it self was great.."
Kumana National Park,Ampara,"Ampara, Eastern Province",National Parks,4.542857142857143,"Kumana National Park is a National Parks located in Ampara. Address: Ampara, Eastern Province. It has an average rating of 4.5/5. Recent travelers said: Nice park with lots of animals, but not many tourists. Plenty of buffalos, wild pigs, deer, we also saw foxes, mongoose and an elephant. Myriad of birds, any bird lover will be thrilled. | This is one of the hidden delights of Sri Lanka - a very special place with lots of wildlife and gorgeous scenery! | Kumana national park is also called Yala East. It is a lot smaller than Yala and much less crowdy. We booked in Arugam Bay and paied 5000 LKR each, which included everything: entrance fee, 4x4 and driver/guide. You stay in the park for about 4 hours. We were lucky and saw all kinds of animals among which elephants and even a leopard. ."
Minneriya National Park,Habarana,North Central Province,National Parks,4.411255411255412,"Minneriya National Park is a National Parks located in Habarana. Address: North Central Province. It has an average rating of 4.4/5. Recent travelers said: Very good for kids, to see elephants on closeup view,  we chased the elephants and their babies, very nice to watch how they eat living in the wild free .the  provided car is fine you can stand and watch animals from car top .  | Another great national park with more fantastic wildlife elephants, buffalo and monkeys and plenty of birds. | We booked a driver through our hotel costing 5000Lkr, he took us to the ticket office and for the two of us i think it was around 10,000 Lkr.

It was around 3pm we got there and the park was very quiet, only two other jeeps going round which was brilliant as there were so many elephants around and we could all watch them without disturbance.

So hard to describe how amazing it is to see so many elephants in their natural habitat.

Definitely worth visiting."
Pigeon Island National Park,Nilaveli,"Nilaveli, Eastern Province",National Parks,3.8058252427184467,"Pigeon Island National Park is a National Parks located in Nilaveli. Address: Nilaveli, Eastern Province. It has an average rating of 3.8/5. Recent travelers said: we were diving and went to Pidgeon island between dives. it was an expensive ticket at $60 for the 2 of us for 90 min snorkling. If we had not seen a turtle and followed it for 20 min and some reef sharks then i would have felt unhappy with the entrance fee. One other issue was that it would be wise not to get sick on the island as they do not have any emergency first aid - we saw a near drowning where the guy needed CPR and they had nothing, he was lucky one of the dive boats had oxygen to allow him to be eventually shipped off | Pigeon Island National Park is near the Nilaveli Beach in Sri Lanka. This National Park is amongst the 17 national parks in the country, but amongst the only two marine national parks in the entire region. This area is protected due to the aftermath of the 2004 Tsunami, which caused a lot of damage to the marine and coral life. This national park is also known to have the best coral reefs in the entire country! The rocky island is also home to rock pigeons, based on which the national park gets its name.

Diving and snorkeling are two everyday activities done here, apart from safari and hike. | Our experience at Pigeon Island was marvellous .It was like heaven all the colourful brightening fish were glistening through the googles .This is a must go destination.WOAHH!!!!!!!!!!!!!!."
Udawalawe National Park,Embilipitiya,Udawalawe National Park,National Parks,4.677852348993288,"Udawalawe National Park is a National Parks located in Embilipitiya. Address: Udawalawe National Park. It has an average rating of 4.7/5. Recent travelers said: The entrance is very expensive comparing to sri lankan entrance prices and to the experience. We saw elephants. The crocodiles were too far in the  water the birds are little and there were too many jeeps. I expected to see more species  | This is a fairly large park within which several companies offer game drives. We booked with Niluka Safari, who were very good. Once in the park, the terrain is quite open, with small plains and the occasional watering hole where animals will congregate. Mainly, you'll see elephants, lots of them which is great, and they'll get quite close too. There are also lots of birds that your guide will spot and point out to you. Others to look out for - the occasional crocodile, land monitors, wild boars and some deer. Altogether, you'll get a good safari experience. | We found Lahiru's details from Trip advisor and booked a private safari with him via Whats App (+94762726799), we were not disappointed and saw lots of elephants. He was a great guide offering a private tour in spacious raised jeep. The tour was not rushed or limited on time, we finished when we wanted to rather than set time. Went off the beaten track away from other jeeps. We had time to view a family of elephants (with babies) on our own without 5 other jeeps fighting for the best spot for pics. Arranged pick up and drop off (this is extra to the safari, ask p for a quote).."
Kalametiya Eco Bird Watching,Kalametiya,"Kalametiya, Tangalle, Southern Province",Nature & Wildlife Areas,4.992424242424242,"Kalametiya Eco Bird Watching is a Nature & Wildlife Areas located in Kalametiya. Address: Kalametiya, Tangalle, Southern Province. It has an average rating of 5.0/5. Recent travelers said: WeÂve had a really good time with a very experienced guide who made our 2h tour a great experience! We recommend it 100%. Nice view, beautiful birds, peaceful environment, and lots of laugh with both the guide and the captain. I wonÂt say more but the guide has some surprises prepared for you that will make you spend a memorable moment! Thank you!! ?? | Great way of spending morning in a peaceful way. You can enjoy watching many different birds and other species and relax listening to the calm sound of nature. Crew is friendly and knowledgeable. Highly recommended  | We did this trip with Buddhi and neither of us are serious spotters we just went along because of the landscape. BuddhiÂs has boundless enthusiasm for birds and he is very mindful of making sure he delivers the best experience  he can for his guests. This was at end of holiday and it was the best experience to end the holiday on. It was such a pleasure to be sharing the experience with Buddhi and his colleague. ThereÂs no litter and better still no jeeps all around you. Just peace, birdsong and a beautiful location. Thanks Buddhi..."
Minneriya Tusker Safaris,Sigiriya,"Sigiriya, Central Province",Nature & Wildlife Areas,4.341463414634147,"Minneriya Tusker Safaris is a Nature & Wildlife Areas located in Sigiriya. Address: Sigiriya, Central Province. It has an average rating of 4.3/5. Recent travelers said: We booked this trip after searching on the internet once we arrived in Sri Lanka and were not disappointed it really was excellent value for money .
Saw many groups of elephants at various locations . It was busy but 2 parks currently closed due to flooding so all trips having to use the Eco Park so it was to be expected .
Roshan was a great driver / guide trying to get the most out of the experience for us .
Would go again in a heartbeat, fabulous to see these great animals up so close  | This was an amazing experience, we got very lucky with the weather and in the middle of a monsoon got a few hours of sunshine. You get so close to the elephants it's unbelievable and they don't seem bothered at all, they continue grazing at their own pace even with the little ones around mum. Most of my photos are on my camera so excuse the selfie! The guides are really knowledgeable about the wildlife and stop, wait until you have your photo and then drive on again. Be careful when you go up the watch tower as there are some snakes chilling up there but their only small and didn't even move when we went up  | Although it rained while we were on this excursion it was still a fabulous experience. We saw heaps of elephants and were given plenty of time to watch and photograph them. Open keeps were great...until the rain came, our drive put the cover over quickly - although we got wet we still thoroughly enjoyed it.."
Pinnawala Elephant Orphanage,Pinnawala,"Pinnawala, Sabaragamuwa Province",Nature & Wildlife Areas,3.4200542005420056,"Pinnawala Elephant Orphanage is a Nature & Wildlife Areas located in Pinnawala. Address: Pinnawala, Sabaragamuwa Province. It has an average rating of 3.4/5. Recent travelers said: This place abuses animals!!  Elephants are chained and beaten please do not support this horrible establishment | Great place to interact with native Asian elephants. We ate in the fully glassed restaurant where you can see them bathing in the river. You also see them interacting with each other: eating, nursing, frolicking. You may even pet them. I saw no evidence of maltreatment as some posters have said. Quite the contrary. They seemed very healthy and happy to live in peace! | ItÂs great to see the place looking after the elephants from the temples or injured from taking care of them feeding them and then letting back in .

As many reviews say they are caged , they arenÂt .

The idea of elephant care is definitely explained well and every step in detail is shown to you .

ItÂs a wonderful experience, I recommend to go volunteer for a day or two ,

ItÂs worth it !."
Sea Turtle Farm Galle Mahamodara,Galle,"Galle, Galle District, Southern Province",Nature & Wildlife Areas,4.288732394366197,"Sea Turtle Farm Galle Mahamodara is a Nature & Wildlife Areas located in Galle. Address: Galle, Galle District, Southern Province. It has an average rating of 4.3/5. Recent travelers said: A place where they really help turtles. You can see them hatching and even release some. You can also see some turtles recovering. Entrance is 2000 per person. See it as an donation. | I visited with my two children. The lady seemed mostly interested in collecting the money for the entrance ticket. While she did explain about the turtles that were there, overall, I still felt that they were primarily focused on making money from tourists. Some locals also warned us that these centers are appearing all over the coast now with dubious missions. | Love this family, what they doing. They doing all just from the donations. Thank you for the perfect day. Must have to see it, have to be on the bucketlist.."
Sinharaja Forest Reserve,Deniyaya,"Deniyaya, Southern Province",Nature & Wildlife Areas,4.331632653061225,"Sinharaja Forest Reserve is a Nature & Wildlife Areas located in Deniyaya. Address: Deniyaya, Southern Province. It has an average rating of 4.3/5. Recent travelers said: Went here with Sanka Tours, amazing experience.

The guide was very helpful and made sure we was happy with the walks and how far we walked. We did 10.3 miles in total, the sounds of the rainforest and the nature it holds is breath taking.

The leech socks provided are a must they was loads and loads of leeches, but we was prepared for this so wasnÂt socked about it. 

For anyone planning on going to the rainforest I would recommend wearing trainers and long trousers with the leech socks, plenty of water as itÂs hot. But definitely worth the experience if you like walking/nature | This trip I entered from the northern Kalawana side, only 3hrs from Colombo.

I stayed at Jansens (recommended) where it's a short drive to the ticket office / entrance of Sinharajah. Jansens offers early breakfast and package lunch pack if you need. 

Get to the park entrance at 7am when they open for the early morning walk. You *MUST* wear leech socks as the rain forest is filled with them - go to a Alpine camping store in Colombo for 1500rupees, or I think you can even rent them from the ticket office. 

Note the hike is 4-6hrs. I walked every path available and it was 6hrs, but that included some side trips. Unfortunately the long hike to Singhagala of 10hrs has been closed since Covid, which is what i had planned for. 

Price is reasonable at 1200rupees for a foreigner plus 2500 for a guide. Excellent rainforest for hiking, birdwatching, and just enjoying the great outdoors. | Stunning forest buzzing with mammals, reptiles, insects and birds.  I saw the following:  Spot winged thrush, Chestnut backed owlet, Giant wood spider, Kangaroo lizard, Green pit viper, Brown fish owl, Sri Lankan frogmouth, Purple face leaf langur, 
Crimson backed flameback, Green vine snake, Giant squirrel, Hump nose lizard, Jungle fowl.  The guide was excellent and managed to spot the tiniest detail.  I did the half day tour but this only covers a small part of the forest, it's pretty large.  I still managed to get to a waterfall for a swim, which was really nice.  I was terrified of leeches, but I only saw a tiny one which had no success getting past the sole of my shoe.  The guide covered my shoes and socks with salt which probably helped.."
Udawattekele Sanctuary,Kandy,"Kandy, Kandy District, Central Province",Nature & Wildlife Areas,4.1798245614035086,"Udawattekele Sanctuary is a Nature & Wildlife Areas located in Kandy. Address: Kandy, Kandy District, Central Province. It has an average rating of 4.2/5. Recent travelers said: We went in there and yes it is jungle in the city. Not well marked unless you know Sinhala. Saw a few skittish deer and hit a bunch of dead ends and come home with multiple cuts and bruises. It is quite pretty but I thought overrated and wasted our day. | We went to Udawattekele for a walk to escape the busy city setting of Kandy. ItÂs only a 10-15 min walk from the center of town, so we expected nothing more but a small forest. What we got though was a full jungle-experience with monkey, snake and barking-deer sightings. You can decide how much time you want to spend walking through as there are several loops, marked out on a big map by the entrance. Entrance fee 660 Rupees as of October 2019. Beware of the leeches. We got attacked a few times! | Good walk, plenty to see.  Our guide said it was about 3km to get around. Liar liar pants on fire, it was at 6 km's.  Plenty of monkeys all over the carpark and cars when we finished.."
Wilpattu National Park,Saliyapura,"Saliyapura, Anuradhapura, North Central Province",Nature & Wildlife Areas,4.076687116564417,"Wilpattu National Park is a Nature & Wildlife Areas located in Saliyapura. Address: Saliyapura, Anuradhapura, North Central Province. It has an average rating of 4.1/5. Recent travelers said: Spent one full day in Wilpattu and we were lucky to see a leopard and a bear at the end of the day. Big park less crowded than Yala and then much more easy.  | We visited this area twice and was blessed to see a leopard on both days.  We also saw a sloth bear, which was a lucky sighting. | Early morning ride at 0630 to this park. Some wild life you can expect are Wild Water Buffalo, Monkey, Sri Lankan Flapshell Turtle, Sri Lankan Junglefowl, Peacock and Deer. Need to have their Rangers 4X4 to enter and is a separate charge for that. After nearly two hours managed to spot a Sri Lankan Leopard and of course we are not only the vehicles there at that time. A bit surprise for this excursion are no elephant were spotted however is fine with whatever was there.."
Baker'S Falls,Nuwara Eliya,Uva Province,Waterfalls,3.9594594594594597,"Baker'S Falls is a Waterfalls located in Nuwara Eliya. Address: Uva Province. It has an average rating of 4.0/5. Recent travelers said: Baker falls is an amazing natural site, but it is a little over shadowed by the entry price and it being over crowded.   | Baker falls come midway enroute to world's end. The falls is full all round the year which looks very scenic. One cannot go near the falls or take a dip in the water for safety reasons. | This is in a national park and on a circular trail. It is an awe-inspiring waterfall and you can get closer to it if you are careful and brave enough to go down the slope.."
Diyaluma Falls,Koslanda,"Koslanda, Uva Province",Waterfalls,4.488372093023256,"Diyaluma Falls is a Waterfalls located in Koslanda. Address: Koslanda, Uva Province. It has an average rating of 4.5/5. Recent travelers said: Ultimately good. We hiked through the forest and reached the upper and lower Diyaluma falls. There is a natural pool. When we went the water was more. Our guide helped us to find a safe place to have a bath. He took us with passion and patience . His name is Upendra. He speaks and understand English. We parked our car near the village . From there along with tuktuk to go up and down until the hiking point. He also came with us until the falls. He can be contacted at 0775474725. Our driver got a good deal by talking with him for both tuktuk and being a guide. After bath we changed our wet clothes in his house. Friendly people. I have included his photo with his shop. The falls and the forest just got imprinted into our heart. Beautiful road to the falls and extraordinary hike upto the top of the falls. A must do. But people should restrain from polluting the place with plastics.  | It is an amazing place to visit. A not to hard climb to the topÂ but when you get there, the view and the waterfall are amazing. | This was one of our favourite days in Sri Lanka. Definitely worth a visit.

As others say below, you can go with or without a guide. We had a guide from Ella whose company we really enjoyed, so we went up with him Â but you could definitely find your way without a guide if you wanted to, maybe with a wrong turn or two along the way.

We took the short 20-minute walk rather than the 2-hour hike, and didnÂt regret it.

The bottom pool is the busiest with tourists Â but we found it was only really worth a short stay. The views are beautiful, and this is where everyone gets their photos Â but thatÂs pretty much it.

The second pool, a very short walk away, is good for a swim, and the view of the falls above you is pretty special. 

The third pool, directly above the second, and a short 2-3 minute hike up, features an 8m cliff jump. We did it and were perfectly safe Â but I wouldnÂt do it without being shown by a local guide. There are plenty around the first pool who can show you. We did it a couple of times Â every time, my feet hit the bottom of the pool at the end of the jump, but not hard enough to be of any concern Â just a surprise first time around!

We then had a lovely time at the top of the third pool, sitting in the sun and relaxing. Well worth a trip.."
Lover'S Leap Falls,Nuwara Eliya,"Nuwara Eliya, Central Province",Waterfalls,4.154639175257732,"Lover'S Leap Falls is a Waterfalls located in Nuwara Eliya. Address: Nuwara Eliya, Central Province. It has an average rating of 4.2/5. Recent travelers said: It was a nice walk to this small waterfall ,beautifully surrounded by tea gardens and lots of greenery with lots of early morning tourist came out for walk. | Actually our favourite walk in Sri Lanka. Not remarkable. Not a huge tourist attraction. Just a delightful stroll amongst the tea plantations watching the tea pickers at work to a nice waterfall at the end.  Lovely views over Nuwara Eliya and surrounding towns. Met some happy, smiling locals who wanted to have selfies with us. Finished with a tour of the Pedro Tea factory and a nice cuppa. Superb morning | Worth the walk but like all of Sri Lanka we need some rain to make them grand again, pass through beautiful market gardens if you take the walk from town."
Ramboda Waterfall,Pussellawa,"Pussellawa, Kandy District, Central Province",Waterfalls,4.322869955156951,"Ramboda Waterfall is a Waterfalls located in Pussellawa. Address: Pussellawa, Kandy District, Central Province. It has an average rating of 4.3/5. Recent travelers said: Ramboda waterfall is one of the tourist attraction in Sri Lanka. It can be seen from different places. Fall is located on the way to Nuwara Eliya from Kandy. it is in the hill area of Sri Lanka. | The waterfalls can be seen from different places but for the best views, you have to go through a hotel and restaurant. They have made this accessible by building steps though narrow. ItÂs a pleasant walk to the falls and not crowded. You can get tea or coffee and relax 
Once again thanks to Manik Tours to take us there | Weird setup to access the waterfall through a hotel. It is free to visit, and is nice. But it's not one of the better waterfall experiences in Sri Lanka."
Ravana Ella Falls,Ella,"Ella, Uva Province",Waterfalls,4.019323671497585,"Ravana Ella Falls is a Waterfalls located in Ella. Address: Ella, Uva Province. It has an average rating of 4.0/5. Recent travelers said: So we visited second time to Ella. Really incredible place. We can see nice waterfall and monkeys. It is forbidden to swim now because a German woman fell hard yesterday and broke her head ??
I recommend. | May be it is my twelfth visit! Several stepped Ravana falls has always been the main attraction to visitors to Ella. Columns of clear water with bubbles and froth mixed in it  like a thick lace curtain makes it a picture to stare at. It was interesting to see the surrounding rock faces through a telephoto lens or binoculars where I could spot rock shelters or semi caves in the upper region of the hill. I wonder whether ancient humans lived in them during the stone ages. 

 | Ravana Falls, located just 10 minutes away from Ella by bus, is a must-visit destination for anyone exploring the region. One of the main attractions of the falls is the stunning views it offers, with water cascading down from a height of over 80 feet. The lush greenery surrounding the falls adds to its natural beauty, making it a picture-perfect spot for photography enthusiasts.

Visitors can also enjoy the playful monkeys that can be spotted around the waterfall. These furry creatures are often seen jumping from tree to tree and adding to the fun atmosphere around the falls.

Apart from the scenic views and playful monkeys, visitors can also take a refreshing swim in the cool waters of the pool at the base of the falls. The water is crystal clear, and the pool offers a great spot to cool off after a day of exploring the area.

In summary, Ravana Falls in Ella is a picturesque destination that offers breathtaking views, playful monkeys, and the opportunity to take a refreshing swim in the pool at the base of the falls. It's a great spot for nature lovers and adventure seekers alike, and it's definitely worth a visit when exploring the region.."
St Clair'S Falls,Nuwara Eliya,"Nuwara Eliya, Central Province",Waterfalls,4.214765100671141,"St Clair'S Falls is a Waterfalls located in Nuwara Eliya. Address: Nuwara Eliya, Central Province. It has an average rating of 4.2/5. Recent travelers said: A beautiful view - picturesque. There is a tea shop across the road which sells a variety of tea to choose from.  | One can visit this waterfall on the way from Nuwara Eliya to Bentota. A beautiful place for view of waterfalls, tea gardens, mountain railway together. The Viewing spot also offers local pineapple, war mango from local vendors with mouthwatering spices. | Easy to take photos of this lovely waterfall from the roadside. The St Clair Falls are on the same road as the Devon Waterfalls - very close together - only short car ride between the two.."
National Zoological Gardens Of Sri Lanka,Colombo,"Colombo, Western Province",Zoological Gardens,3.1220657276995305,"National Zoological Gardens Of Sri Lanka is a Zoological Gardens located in Colombo. Address: Colombo, Western Province. It has an average rating of 3.1/5. Recent travelers said: The zoo in Colombo appears small(ish) on the map, and like most attractions we've been to, is slightly underwhelming when you walk through the gates. But it just keeps going! The zoo is clean, well maintained, the animals seem happy, and we very much enjoyed our visit. Foreign residents do pay a higher price, but it is still quite cheap compared to back home, and we were more than happy to pay it. | Great place to take your kids. I was able to get hold of a zoo guide who toured me to the entire place in a timely manner. 1000LKR was worth the experience. He advised my 3.5 yr old daughter to feed a few animals which enhanced the entire experience.

Mostly would only find locals and the ResturantÂs donÂt have enough options of foreigners.

Take around 2-3 hours to tour the entire place.

 | We visited this zoo during our SriLanka visit in December 2017. Its a lovely park and very well maintained.
I was excited about Giraffe and Zebra, we don't get to see them in most zoos.
Overall it was worth the visit.."
Dagoba Of Thuparama,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,4.1688311688311686,"Dagoba Of Thuparama is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.2/5. Recent travelers said: The oldest stupa in Sri Lanka, and really beautiful. It's not the biggest, but it is one of the most beautiful we saw. The surrounding pillars once supported a roof, so you get a sense of the size of the building in which it once sat. If touring Anuradhapura this is a site you should not miss. | We got pissed of when visiting this stupa, coz they poured water everywhere on the top which made dry flower offerings become disgusting and one should walk around in this mess without shoes?  | Thuparamaya is the oldest dagoba of Sri Lanka. It was built over an ancient Hindu temple. The dagoba is surrounded by the ruins of the yore that give a scenic look to the place. The locals in white attire make the place look like a lake full of swans.

One must carry a pair of socks to visit this place as we have to walk barefoot that gives a feel of firewalk.."
Isurumuniya Temple,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,4.166666666666667,"Isurumuniya Temple is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.2/5. Recent travelers said: The one place we visited who really stood out. It is different and scenic. We were about to skip it but decided in the last minute to go and take a look and we are so happy that we did. You'll have to pay another entrance ticket fee but we fount that it was worth it. It is buildt into the rock itself. Overall a nice visit!  | This was our first stop of the day on our visit to the ancient city. Despite it being early the site was still busy. It is well worth a look at when in the locality. Dont miss the carvings on the rock face above the level of the water tank, | An ancient and interesting temple.  DonÂt miss the carving by the tank and the great carvings in the museum ."
Jaya Sri Maha Bodhi,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,4.203448275862069,"Jaya Sri Maha Bodhi is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.2/5. Recent travelers said: Children of Emperor Asoka of India brought to Sri Lanka a branch of the tree under which Buddha found enlightenment. It is one of the three sites Sri Lankan Buddhists must visit. Now over 2,300 years old, the tree is partly held up by gold works. Devotees attend to provide food for the tree, sometimes in processions. | Piousness fills the air, with so many saplings, people, images of Lord Buddha around the central temple.  | Important site of the Buddhist faith in Sri Lanka but the buildings around are quite recent and don't really help as the setting for this millennia old tree."
Jethawanaramaya Stupa,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,4.316326530612245,"Jethawanaramaya Stupa is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.3/5. Recent travelers said: It was amazing to stand in front of this Stupa. So big, so white. I walked around it as you should do when you come from afar. But better bring some socks as you have to remove your shoes and the stones on a sunny day can be very very hot! | Its a historical temple visited by both local and foreign tourist. Amazing sculptures and architectures | Governments main job is to rip the tourist off and even the officials behave this way, arrogant and not customer oriented at all. It is all about money here. The price for tourist RP 3500 compared to almost nothing paid by locals. You have to pay that to be able to access the entire area. Not worth the money. ""My generous donation will help you preserve the heritage"" (as stated on the ticket) however should the locals be also interested to take a part? After you pay the entrance fee almost nothing is in English. You have to open google to get at least some information. Also you would expect at least basic English knowledge of the staff if you charge this entrance fee. We had a disagreement with the staff I took as 15 mins to find someone who can speak basic English. Or at least clean up at the historical sites from all the garbage. I can't really see here that the money is actually going in the heritage. Didn't buy it. Also to be honest there is not that much you can see for the money here unless you are really a big history fan or Buddhist. ."
Mihintale,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,4.562724014336918,"Mihintale is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.6/5. Recent travelers said: This place has been associated with the earliest introduction to Buddhism in Sri Lanka. There is a small ceremony at 18:00 every evening. A few monks walk from the monastery up to the white stupa carrying offerings and drumming. ItÂs best to already be at the top of the stupa before it starts. 

If you go here with a driver, ask them to stop at Mihidu Aranya. ItÂs close to the Mihintale site. ItÂs the one of most impressive trees you will ever see. Monks use it for prayer.  | A must do if you are in the area, quite the climb but should pose no issue if you are willing to make an effort. Would recommend this site to all people who are even remotely interested in culture and/or nature. The view is absolutely stunning! | Beautiful historical site, where Buddhism was first introduced to Sri Lanka. 
The site is very popular with the locals, which really makes you appreciate the importance of the place. Don't miss it.."
Ruwanwelisaya,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,4.461538461538462,"Ruwanwelisaya is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.5/5. Recent travelers said: A Must Visit Ancient Buddhist Stupa. The Ruwanwelisaya is a stupa and a hemispherical structure containing relics, in Sri Lanka, considered sacred to many Buddhists all over the world. | You cannot visit Anuradapura without going to this Dagoba, but expect a lot of people and an all renewed religious monument. Gives a good vibe of the Buddhist religious life but it was not on the top 10 of our places to visit. | If you visit this beautiful stupa please do in the morning or the evening time. 
It is really peaceful and pretty! You will need to dress and behave respectful. Pictures are allowed. ."
Abhayagiri Dagaba,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,4.302083333333333,"Abhayagiri Dagaba is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.3/5. Recent travelers said: Totally breathtaking. This huge stupa is an incredible testimony to ancient architecture and devotion 

For me the best thing in the sacred city of Anuradhapura  | As the stupas at Anuradhapura are all impressive, Abhayagiri Dagaba is no different! Wonderful, a real sight for the eye. | This stupa has built by King Walagamba, in order to pay his gratitude towards the Buddhist monks. This area is considered to be carrying the secrets of Theravada Buddhism. This stupa has met-up with several disastrous situations in the past, but with the help of government and the fellow Sri Lankans, the stupa rebuilt in several years back. This Vihara area contains with a museum as well, which hinders the history of Abayagiri Stupa.."
Samadhi Statue,Anuradhapura,"Anuradhapura, North Central Province",Religious Sites,3.957894736842105,"Samadhi Statue is a Religious Sites located in Anuradhapura. Address: Anuradhapura, North Central Province. It has an average rating of 4.0/5. Recent travelers said: this statue of Buddha is situated in a small area but important to see.  Remember that shoes and hats are not allowed in the temple vicinity. | It is inside the park. and you can sit and stay peaceful. wonderful art craft. i liked Buddha statues in Sri Lanka, they are different then those seen in Thailand.  | The tuktuk driver took me to this place, and i really liked it. Its quite calm and serene in the middle of the forest.."
Kelaniya Raja Maha Vihara,Colombo,"Colombo, Western Province",Religious Sites,4.540106951871658,"Kelaniya Raja Maha Vihara is a Religious Sites located in Colombo. Address: Colombo, Western Province. It has an average rating of 4.5/5. Recent travelers said: There is so much to see in this area. Be prepared to spend at least 2 hours here. It is nice, but there are other places in Colombo I liked so much better (Seema Malaka and Gangaramaya Temple). | What a wonderful spiritual experience.As soon as we entered the place we could feel the difference.People were looking at us and smiling.It was so welcoming.Even though we were not able to communicate verbally we felt so uplifted.We were invited to take part in their ceremonies and were shown every kindness.
For me this was the highlight of our 3 week visit. | This is one of the most popular Buddhist temples in Colombo.
It is also preferable to try and visit during the day and to avoid the rush during the monthly powa celebrations ."
